Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
,,,,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets,Player went from Cincinnati Reds to New York Mets
98,1221,106,Aug 2,NYM,,NYY,W7-1,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.262,.313,.553,.866,3,.31,-0.031,-1.27,0.00,0.00,RF
99,1222,107,Aug 3,NYM,@,NYY,L5-9,CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.259,.311,.548,.859,4,1.41,-0.079,-0.54,2.00,3.00,RF
100,1223,108,Aug 4,NYM,@,NYY,W4-1,CG,4,4,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.259,.311,.552,.863,4,1.02,0.190,1.80,18.00,25.70,RF
101,1224,109,Aug 5,NYM,@,DET,L3-4,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.260,.313,.551,.863,4,1.57,-0.015,0.34,7.00,9.20,RF
102,1225,110,Aug 6,NYM,@,DET,L5-6,CG,5,5,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,.262,.314,.556,.870,4,1.72,0.231,1.38,17.00,21.70,RF
103,1226,111,Aug 7,NYM,@,DET,W3-1,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.259,.311,.551,.862,4,.88,-0.089,-0.86,0.00,0.00,DH
104,1227,112,Aug 9,NYM,,ARI,L3-5,CG,4,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.259,.313,.549,.862,3,1.12,0.066,0.80,5.00,6.00,RF
105,1228,113,Aug 10,NYM,,ARI,L2-3,CG(12),5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.259,.311,.545,.856,4,2.29,-0.268,-1.20,3.00,3.00,RF
106,1229,114,Aug 11,NYM,,ARI,L0-9,GS-7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.309,.541,.850,3,.60,-0.066,-0.76,0.00,0.00,RF
